"","id","submitdate","LOSUJ","IgnacySlawekEkrPow","Gender","Birth","Education","Education_other","Philosophical_Education","Previous_survey","GROUP","intentionality","obligation_know","obligation_exist"
"5",5,"1980-01-01 00:00:00",1,NA,"Kobieta",1978,"Wyższe","","Nie","Nie","Harm","Nie","Nie","Nie"
"21",21,"",2,NA,"",NA,"","","","","Help","0","0","0"
"24",24,"",2,NA,"",NA,"","","","","Help","0","0","0"
"25",25,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"37",37,"1980-01-01 00:00:00",1,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Nie"
"48",48,"",2,NA,"",NA,"","","","","Help","0","0","0"
"62",62,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"63",63,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"65",65,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1992,"Średnie","","Nie","Tak","Help","Nie","Nie","Nie"
"83",83,"",2,NA,"",NA,"","","","","Help","0","0","0"
"96",97,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"97",98,"1980-01-01 00:00:00",2,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"99",100,"",1,NA,"",NA,"","","","","Harm","Tak","0","0"
"100",101,"",2,NA,"",NA,"","","","","Help","Tak","0","0"
"101",102,"",1,NA,"",NA,"","","","","Harm","Nie","Tak","Tak"
"129",130,"",2,NA,"",NA,"","","","","Help","0","0","0"
"140",141,"",2,NA,"",NA,"","","","","Help","0","0","0"
"146",147,"",2,NA,"",NA,"","","","","Help","0","0","0"
"153",154,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"160",161,"1980-01-01 00:00:00",2,NA,"Kobieta",1978,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"181",182,"",2,NA,"",NA,"","","","","Help","0","0","0"
"192",193,"",2,NA,"",NA,"","","","","Help","0","0","0"
"195",196,"1980-01-01 00:00:00",2,NA,"Kobieta",1997,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"198",199,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1992,"Średnie","","Tak","Nie","Harm","Tak","Nie","Nie"
"226",227,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"230",231,"1980-01-01 00:00:00",2,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Help","Nie","Nie","Tak"
"264",271,"",2,NA,"",NA,"","","","","Help","Tak","Nie","Tak"
"267",274,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1985,"Średnie","","Nie","Nie","Harm","Tak","Tak","Tak"
"298",305,"",2,NA,"",NA,"","","","","Help","0","0","0"
"302",309,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1973,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"313",320,"",2,NA,"",NA,"","","","","Help","0","0","0"
"322",329,"1980-01-01 00:00:00",1,NA,"Kobieta",1983,"Wyższe","","Nie","Nie","Harm","Nie","Nie","Nie"
"343",351,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1974,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Tak"
"369",377,"",2,NA,"",NA,"","","","","Help","0","0","0"
"372",380,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1987,"-oth-","doktor","Tak","Nie","Harm","Tak","Tak","Nie"
"374",382,"1980-01-01 00:00:00",1,NA,"Kobieta",1976,"Wyższe","","Nie","Tak","Harm","Nie","Nie","Nie"
"377",385,"",2,NA,"",NA,"","","","","Help","Nie","Nie","0"
"379",387,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1994,"Średnie","","Nie","Nie","Harm","Tak","Nie","Nie"
"386",395,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1991,"Wyższe","","Nie","Nie","Help","Nie","Nie","Tak"
"388",397,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1993,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"397",406,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"467",477,"",2,NA,"",NA,"","","","","Help","0","0","0"
"475",485,"1980-01-01 00:00:00",1,NA,"Kobieta",1995,"Średnie","","Nie","Nie","Harm","Tak","Tak","Tak"
"490",500,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"500",511,"1980-01-01 00:00:00",1,NA,"Kobieta",1986,"Wyższe","","Nie","Nie","Harm","Nie","Tak","Nie"
"522",533,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"553",564,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"556",567,"1980-01-01 00:00:00",2,NA,"Kobieta",1988,"Wyższe","","Nie","Tak","Help","Nie","Nie","Nie"
"561",572,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"566",577,"",2,NA,"",NA,"","","","","Help","0","0","0"
"574",585,"",2,NA,"",NA,"","","","","Help","0","0","0"
"576",587,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"604",615,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"619",630,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1998,"-oth-","Gimnazjalne","Nie","Tak","Harm","Tak","Nie","Tak"
"621",632,"",2,NA,"",NA,"","","","","Help","0","0","0"
"642",653,"1980-01-01 00:00:00",1,NA,"Kobieta",1998,"Podstawowe","","Nie","Nie","Harm","Tak","Tak","Nie"
"647",658,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"653",664,"1980-01-01 00:00:00",1,NA,"Kobieta",1998,"Średnie","","Nie","Nie","Harm","Tak","Nie","Tak"
"663",674,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"669",680,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"670",681,"1980-01-01 00:00:00",1,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Tak"
"676",687,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1989,"Wyższe","","Tak","Tak","Harm","Tak","Nie","Nie"
"679",690,"1980-01-01 00:00:00",1,NA,"Kobieta",1956,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Tak"
"682",693,"1980-01-01 00:00:00",1,NA,"Kobieta",1991,"-oth-","lekarz weterynarii","Nie","Nie","Harm","Tak","Nie","Tak"
"696",707,"",2,NA,"",NA,"","","","","Help","0","0","0"
"699",710,"1980-01-01 00:00:00",2,NA,"Kobieta",1982,"Wyższe","","Nie","Nie","Help","Nie","Nie","Tak"
"704",715,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1996,"Średnie","","Nie","Nie","Harm","Tak","Nie","Nie"
"705",716,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"712",723,"",2,NA,"",NA,"","","","","Help","0","0","0"
"722",733,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1987,"Wyższe","","Nie","Tak","Help","Tak","Nie","Nie"
"743",754,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"768",779,"",2,NA,"",NA,"","","","","Help","0","0","0"
"783",796,"1980-01-01 00:00:00",1,NA,"Kobieta",1986,"Wyższe","","Nie","Nie","Harm","Tak","Nie","Nie"
"800",813,"",2,NA,"",NA,"","","","","Help","0","0","0"
"815",829,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1992,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"848",862,"",2,NA,"",NA,"","","","","Help","0","0","0"
"850",864,"",2,NA,"",NA,"","","","","Help","Nie","Tak","0"
"858",872,"1980-01-01 00:00:00",2,NA,"Kobieta",1987,"Wyższe","","Nie","Tak","Help","Nie","Nie","Nie"
"862",876,"1980-01-01 00:00:00",2,NA,"Kobieta",1979,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"874",888,"",1,NA,"",NA,"","","","","Harm","Tak","0","0"
"875",889,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1985,"Wyższe","","Nie","Nie","Harm","Nie","Nie","Nie"
"884",898,"1980-01-01 00:00:00",1,NA,"Kobieta",1988,"Wyższe","","Nie","Nie","Harm","Tak","Nie","Tak"
"897",911,"",2,NA,"",NA,"","","","","Help","0","0","0"
"904",918,"",2,NA,"",NA,"","","","","Help","0","0","0"
"914",928,"1980-01-01 00:00:00",1,NA,"Kobieta",1995,"-oth-","niepełne wyższe(student)","Nie","Nie","Harm","Tak","Nie","Nie"
"987",1002,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1014",1029,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1989,"Wyższe","","Nie","Nie","Help","Nie","Nie","Tak"
"1025",1040,"1980-01-01 00:00:00",2,NA,"Kobieta",1975,"Wyższe","","Nie","Nie","Help","Nie","Nie","Tak"
"1026",1041,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1987,"Wyższe","","Nie","Nie","Help","Nie","Tak","Nie"
"1037",1055,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1981,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Tak"
"1060",1079,"1980-01-01 00:00:00",2,NA,"Kobieta",1995,"Wyższe","","Nie","Nie","Help","Nie","Tak","Tak"
"1064",1083,"1980-01-01 00:00:00",1,NA,"Kobieta",1987,"-oth-","policealne","Nie","Nie","Harm","Tak","Nie","Tak"
"1071",1090,"1980-01-01 00:00:00",1,NA,"Kobieta",1984,"Wyższe","","Nie","Tak","Harm","Tak","Tak","Tak"
"1101",1120,"1980-01-01 00:00:00",2,NA,"Kobieta",1995,"Średnie","","Nie","Nie","Help","Nie","Nie","Tak"
"1110",1129,"1980-01-01 00:00:00",1,NA,"Kobieta",1992,"Średnie","","Nie","Nie","Harm","Nie","Tak","Tak"
"1119",1138,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1125",1144,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1128",1147,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1984,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"1132",1151,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1142",1162,"1980-01-01 00:00:00",1,NA,"Kobieta",1988,"Wyższe","","Nie","Nie","Harm","Nie","Tak","Nie"
"1144",1164,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1972,"Wyższe","","Nie","Nie","Harm","Tak","Nie","Nie"
"1162",1182,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1171",1191,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1989,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Tak"
"1173",1193,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1229",1250,"1980-01-01 00:00:00",2,NA,"Kobieta",1983,"Wyższe","","Nie","Nie","Help","Nie","Tak","Tak"
"1274",1296,"1980-01-01 00:00:00",1,NA,"Mężczyzna",2000,"Podstawowe","","Nie","Nie","Harm","Nie","Nie","Nie"
"1289",1311,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1977,"Średnie","","Nie","Tak","Help","Nie","Nie","Tak"
"1290",1312,"1980-01-01 00:00:00",2,NA,"Kobieta",1998,"Średnie","","Nie","Nie","Help","Nie","Tak","Tak"
"1324",1346,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1325",1347,"1980-01-01 00:00:00",2,NA,"Kobieta",1971,"Wyższe","","Nie","Nie","Help","Tak","Nie","Nie"
"1335",1357,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1338",1360,"1980-01-01 00:00:00",2,NA,"Kobieta",1971,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"1359",1381,"1980-01-01 00:00:00",1,NA,"Kobieta",1990,"Średnie","","Nie","Nie","Harm","Tak","Nie","Nie"
"1366",1388,"1980-01-01 00:00:00",2,NA,"Kobieta",1989,"Wyższe","","Nie","Nie","Help","Nie","Tak","Tak"
"1401",1423,"",2,NA,"",NA,"","","","","Help","Nie","0","0"
"1404",1426,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1408",1430,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1420",1442,"1980-01-01 00:00:00",2,NA,"Kobieta",1950,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"1425",1447,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1434",1456,"",1,NA,"",NA,"","","","","Harm","Nie","Tak","0"
"1441",1463,"1980-01-01 00:00:00",2,NA,"Kobieta",1987,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"1451",1473,"1980-01-01 00:00:00",2,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"1454",1476,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1472",1494,"1980-01-01 00:00:00",2,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"1473",1495,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1476",1500,"1980-01-01 00:00:00",2,NA,"Kobieta",1993,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"1488",1514,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1492",1518,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1497",1523,"1980-01-01 00:00:00",1,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Harm","Tak","Nie","Tak"
"1499",1525,"1980-01-01 00:00:00",1,NA,"Kobieta",1993,"Średnie","","Nie","Nie","Harm","Tak","Tak","Tak"
"1501",1527,"1980-01-01 00:00:00",2,NA,"Kobieta",1991,"Wyższe","","Nie","Nie","Help","Nie","Tak","Tak"
"1503",1529,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1993,"Średnie","","Nie","Nie","Harm","Tak","Nie","Nie"
"1504",1530,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1990,"Wyższe","","Nie","Nie","Help","Tak","Nie","Nie"
"1507",1533,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1510",1536,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1515",1541,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1985,"Średnie","","Tak","Nie","Harm","Tak","Tak","Nie"
"1522",1548,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1991,"Wyższe","","Nie","Nie","Harm","Tak","Nie","Nie"
"1526",1553,"1980-01-01 00:00:00",1,NA,"Kobieta",1958,"Wyższe","","Nie","Nie","Harm","Tak","Nie","Tak"
"1531",1558,"1980-01-01 00:00:00",1,NA,"Kobieta",1995,"Średnie","","Nie","Nie","Harm","Tak","Tak","Tak"
"1541",1568,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1543",1570,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1994,"Średnie","","Nie","Nie","Harm","Tak","Tak","Tak"
"1557",1584,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1576",1603,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1587",1614,"1980-01-01 00:00:00",1,NA,"Kobieta",1993,"Średnie","","Nie","Nie","Harm","Tak","Nie","Nie"
"1598",1626,"1980-01-01 00:00:00",1,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Harm","Tak","Tak","Tak"
"1605",1633,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1995,"Średnie","","Tak","Tak","Help","Nie","Nie","Nie"
"1616",1644,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1641",1670,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1996,"Średnie","","Nie","Tak","Help","Nie","Nie","Nie"
"1648",1677,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1987,"Wyższe","","Nie","Nie","Help","Tak","Tak","Nie"
"1682",1711,"1980-01-01 00:00:00",1,NA,"Kobieta",1989,"Wyższe","","Nie","Nie","Harm","Nie","Tak","Tak"
"1684",1713,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1702",1732,"1980-01-01 00:00:00",2,NA,"Kobieta",1991,"Wyższe","","Nie","Nie","Help","Nie","Nie","Tak"
"1705",1735,"",1,NA,"",NA,"","","","","Harm","Tak","Tak","Tak"
"1708",1738,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1711",1741,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1724",1754,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1728",1758,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1742",1772,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1750",1780,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1770",1801,"1980-01-01 00:00:00",2,NA,"Kobieta",1979,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"1784",1815,"1980-01-01 00:00:00",2,NA,"Kobieta",1967,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"1790",1821,"1980-01-01 00:00:00",1,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Harm","Tak","Nie","Nie"
"1796",1827,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1828",1859,"1980-01-01 00:00:00",1,NA,"Kobieta",1990,"Zawodowe","","Nie","Nie","Harm","Tak","Tak","Tak"
"1848",1879,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1863",1894,"1980-01-01 00:00:00",1,NA,"Kobieta",1982,"Wyższe","","Nie","Tak","Harm","Tak","Nie","Nie"
"1864",1895,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1865",1896,"",2,NA,"",NA,"","","","","Help","0","0","0"
"1877",1908,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1994,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"1889",1920,"1980-01-01 00:00:00",2,NA,"Kobieta",1984,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"1890",1921,"1980-01-01 00:00:00",1,NA,"Kobieta",1982,"Średnie","","Nie","Nie","Harm","Tak","Nie","Tak"
"1930",1962,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1956",1988,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1960",1992,"1980-01-01 00:00:00",2,NA,"Kobieta",1988,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"1979",2011,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"1993",2025,"1980-01-01 00:00:00",1,NA,"Kobieta",1994,"Średnie","","Tak","Tak","Harm","Tak","Tak","Tak"
"2001",2033,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2028",2060,"",2,NA,"",NA,"","","","","Help","Nie","0","0"
"2038",2070,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1982,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"2045",2077,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1969,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"2048",2080,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2072",2104,"1980-01-01 00:00:00",2,NA,"Kobieta",1984,"Wyższe","","Nie","Nie","Help","Nie","Nie","Tak"
"2092",2124,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2101",2133,"1980-01-01 00:00:00",2,NA,"Kobieta",1950,"Średnie","","Nie","Nie","Help","Nie","Tak","Tak"
"2110",2142,"1980-01-01 00:00:00",2,NA,"Kobieta",1995,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"2121",2153,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1992,"Średnie","","Nie","Tak","Harm","Tak","Nie","Tak"
"2122",2154,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2123",2155,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1992,"Średnie","","Nie","Tak","Harm","Tak","Nie","Tak"
"2124",2156,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2126",2158,"1980-01-01 00:00:00",2,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"2135",2167,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2136",2168,"1980-01-01 00:00:00",1,NA,"Mężczyzna",26,"Wyższe","","Nie","Tak","Harm","Nie","Nie","Nie"
"2140",2172,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2145",2177,"1980-01-01 00:00:00",2,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Help","Nie","Nie","Tak"
"2151",2183,"1980-01-01 00:00:00",2,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"2165",2197,"",1,NA,"",NA,"","","","","Harm","Tak","Tak","0"
"2180",2212,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1985,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"2186",2218,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1987,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"2189",2221,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2196",2228,"1980-01-01 00:00:00",1,NA,"Kobieta",1972,"-oth-","habilitacja","Nie","Nie","Harm","Tak","Nie","Nie"
"2204",2236,"1980-01-01 00:00:00",2,NA,"Kobieta",1960,"-oth-","ekonomiczne","Nie","Nie","Help","Tak","Tak","Nie"
"2209",2241,"1980-01-01 00:00:00",1,NA,"Kobieta",1987,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Tak"
"2213",2245,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1981,"Wyższe","","Nie","Tak","Help","Nie","Tak","Nie"
"2218",2250,"1980-01-01 00:00:00",1,NA,"Kobieta",1989,"Wyższe","","Tak","Nie","Harm","Tak","Tak","Tak"
"2224",2256,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1988,"Średnie","","Nie","Nie","Harm","Tak","Nie","Nie"
"2229",2261,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2231",2263,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1991,"Wyższe","","Tak","Tak","Harm","Tak","Tak","Tak"
"2232",2264,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2240",2272,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2260",2292,"",1,NA,"",NA,"","","","","Harm","Tak","0","0"
"2274",2306,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2287",2319,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2294",2327,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2322",2355,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2324",2357,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1991,"Wyższe","","Nie","Nie","Help","Nie","Nie","Nie"
"2347",2380,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2377",2410,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2392",2426,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2395",2429,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2416",2451,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2420",2455,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2433",2468,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2436",2471,"1980-01-01 00:00:00",1,NA,"Kobieta",1983,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Tak"
"2443",2478,"1980-01-01 00:00:00",1,NA,"Kobieta",1995,"Średnie","","Nie","Nie","Harm","Tak","Nie","Nie"
"2450",2486,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2457",2493,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2460",2496,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1959,"Wyższe","","Nie","Nie","Harm","Tak","Tak","Nie"
"2462",2498,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2486",2522,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1990,"Średnie","","Nie","Tak","Harm","Tak","Nie","Nie"
"2488",2524,"",1,NA,"",NA,"","","","","Harm","Nie","0","0"
"2498",2534,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2523",2559,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2529",2565,"",2,NA,"",NA,"","","","","Help","0","0","0"
"2540",2576,"1980-01-01 00:00:00",2,NA,"Kobieta",1989,"Wyższe","","Nie","Nie","Help","Nie","Tak","Nie"
"2544",2580,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1995,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"2558",2594,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1988,"-oth-","magister","Nie","Nie","Harm","Tak","Nie","Tak"
"2583",2619,"",1,NA,"",NA,"","","","","Harm","0","0","0"
"2604",2640,"1980-01-01 00:00:00",2,NA,"Mężczyzna",1996,"Średnie","","Nie","Nie","Help","Nie","Nie","Nie"
"2615",2651,"1980-01-01 00:00:00",1,NA,"Mężczyzna",1989,"Wyższe","","Tak","Nie","Harm","Tak","Tak","Tak"
"2680",2716,"1980-01-01 00:00:00",2,NA,"Kobieta",1996,"Średnie","","Nie","Nie","Help","Tak","Nie","Nie"
"2689",2725,"",1,NA,"",NA,"","","","","Harm","0","0","0"
