"","id","submitdate","LOSUJ","IgnacySlawekEkrPow","Gender","Birth","Education","Education_other","Philosophical_Education","Previous_survey","GROUP","CHAIRMAN_ATTITUDE","ATTITUDE"
"8",8,"",10,NA,"",NA,"","","","","Help","0","0"
"9",9,"1980-01-01 00:00:00",10,NA,"Kobieta",1995,"Średnie","","Nie","Tak","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"11",11,"1980-01-01 00:00:00",10,NA,"Kobieta",1993,"Średnie","","Nie","Tak","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"28",28,"",9,NA,"",NA,"","","","","Harm","0","0"
"43",43,"",9,NA,"",NA,"","","","","Harm","0","0"
"44",44,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1994,"Średnie","","Nie","Nie","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"55",55,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1996,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"57",57,"",9,NA,"",NA,"","","","","Harm","0","0"
"105",106,"",9,NA,"",NA,"","","","","Harm","0","0"
"106",107,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1995,"Średnie","","Nie","Tak","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"120",121,"1980-01-01 00:00:00",10,NA,"Kobieta",1994,"Średnie","","Nie","Tak","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"124",125,"",10,NA,"",NA,"","","","","Help","0","0"
"127",128,"",10,NA,"",NA,"","","","","Help","0","0"
"132",133,"1980-01-01 00:00:00",10,NA,"Kobieta",1974,"Wyższe","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"138",139,"",10,NA,"",NA,"","","","","Help","0","0"
"155",156,"",10,NA,"",NA,"","","","","Help","0","0"
"156",157,"",10,NA,"",NA,"","","","","Help","0","0"
"172",173,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1989,"Wyższe","","Tak","Tak","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"176",177,"1980-01-01 00:00:00",9,NA,"Kobieta",1978,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"182",183,"1980-01-01 00:00:00",9,NA,"Kobieta",1982,"-oth-","Doktor","Tak","Tak","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"194",195,"1980-01-01 00:00:00",10,NA,"Kobieta",1958,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"215",216,"",10,NA,"",NA,"","","","","Help","0","0"
"224",225,"",10,NA,"",NA,"","","","","Help","0","0"
"227",228,"",10,NA,"",NA,"","","","","Help","0","0"
"232",233,"",10,NA,"",NA,"","","","","Help","0","0"
"240",241,"",9,NA,"",NA,"","","","","Harm","0","0"
"242",243,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1986,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"245",246,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1982,"Wyższe","","Tak","Tak","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"263",270,"1980-01-01 00:00:00",10,NA,"Kobieta",1966,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"266",273,"1980-01-01 00:00:00",9,NA,"Kobieta",1986,"Wyższe","","Tak","Nie","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"272",279,"1980-01-01 00:00:00",9,NA,"Kobieta",1987,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"293",300,"1980-01-01 00:00:00",10,NA,"Kobieta",1974,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"296",303,"1980-01-01 00:00:00",9,NA,"Kobieta",1980,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"304",311,"",9,NA,"",NA,"","","","","Harm","0","0"
"323",331,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1977,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"394",403,"",10,NA,"",NA,"","","","","Help","0","0"
"395",404,"",10,NA,"",NA,"","","","","Help","0","0"
"405",415,"1980-01-01 00:00:00",10,NA,"Kobieta",1985,"-oth-","podyplomowe","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"408",418,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1987,"Wyższe","","Tak","Tak","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"415",425,"",9,NA,"",NA,"","","","","Harm","0","0"
"421",431,"1980-01-01 00:00:00",10,NA,"Kobieta",1981,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"423",433,"",9,NA,"",NA,"","","","","Harm","0","0"
"447",457,"1980-01-01 00:00:00",10,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"463",473,"",10,NA,"",NA,"","","","","Help","0","0"
"473",483,"1980-01-01 00:00:00",10,NA,"Kobieta",1999,"Podstawowe","","Nie","Nie","Help","Dyrektor dezaprobuje szkodzenie","Aprobuję postawę dyrektora"
"485",495,"1980-01-01 00:00:00",10,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"487",497,"",9,NA,"",NA,"","","","","Harm","0","0"
"489",499,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1998,"Podstawowe","","Nie","Tak","Help","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"498",508,"",9,NA,"",NA,"","","","","Harm","0","0"
"499",509,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1946,"Wyższe","","Nie","Nie","Harm","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"508",519,"",9,NA,"",NA,"","","","","Harm","0","0"
"525",536,"",9,NA,"",NA,"","","","","Harm","0","0"
"544",555,"1980-01-01 00:00:00",9,NA,"Kobieta",1989,"Wyższe","","Nie","Tak","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"551",562,"",9,NA,"",NA,"","","","","Harm","0","0"
"554",565,"",10,NA,"",NA,"","","","","Help","0","0"
"563",574,"",10,NA,"",NA,"","","","","Help","0","0"
"572",583,"",9,NA,"",NA,"","","","","Harm","0","0"
"575",586,"1980-01-01 00:00:00",10,NA,"Kobieta",1986,"Wyższe","","Tak","Nie","Help","Dyrektor dezaprobuje pomaganie","Dezaprobuję postawę dyrektora"
"577",588,"",9,NA,"",NA,"","","","","Harm","0","0"
"589",600,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1996,"Średnie","","Nie","Tak","Harm","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"592",603,"",9,NA,"",NA,"","","","","Harm","0","0"
"603",614,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1993,"Wyższe","","Nie","Nie","Harm","Dyrektor dezaprobuje pomaganie","Aprobuję postawę dyrektora"
"608",619,"",10,NA,"",NA,"","","","","Help","0","0"
"611",622,"",9,NA,"",NA,"","","","","Harm","0","0"
"614",625,"",10,NA,"",NA,"","","","","Help","0","0"
"615",626,"",10,NA,"",NA,"","","","","Help","Dyrektor aprobuje szkodzenie","Jestem obojętny wobec postawy dyrektora"
"617",628,"",10,NA,"",NA,"","","","","Help","0","0"
"626",637,"",9,NA,"",NA,"","","","","Harm","0","0"
"654",665,"",10,NA,"",NA,"","","","","Help","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"659",670,"",9,NA,"",NA,"","","","","Harm","0","0"
"685",696,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1995,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Jestem obojętny wobec postawy dyrektora"
"690",701,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1975,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"708",719,"1980-01-01 00:00:00",9,NA,"Kobieta",1990,"Średnie","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"725",736,"",10,NA,"",NA,"","","","","Help","0","0"
"729",740,"",10,NA,"",NA,"","","","","Help","0","0"
"738",749,"",9,NA,"",NA,"","","","","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"747",758,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1985,"Wyższe","","Tak","Nie","Harm","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"753",764,"",9,NA,"",NA,"","","","","Harm","0","0"
"766",777,"1980-01-01 00:00:00",10,NA,"Kobieta",1985,"Wyższe","","Nie","Nie","Help","Dyrektor dezaprobuje pomaganie","Dezaprobuję postawę dyrektora"
"779",791,"1980-01-01 00:00:00",9,NA,"Kobieta",2001,"Podstawowe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"801",814,"",10,NA,"",NA,"","","","","Help","0","0"
"812",826,"",9,NA,"",NA,"","","","","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"817",831,"1980-01-01 00:00:00",10,NA,"Kobieta",1993,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"855",869,"1980-01-01 00:00:00",9,NA,"Kobieta",1994,"Średnie","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"863",877,"",9,NA,"",NA,"","","","","Harm","0","0"
"871",885,"1980-01-01 00:00:00",9,NA,"Kobieta",1987,"Wyższe","","Tak","Nie","Harm","Dyrektor dezaprobuje pomaganie","Dezaprobuję postawę dyrektora"
"872",886,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1995,"Średnie","","Tak","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"879",893,"1980-01-01 00:00:00",9,NA,"Kobieta",1993,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"888",902,"",10,NA,"",NA,"","","","","Help","0","0"
"898",912,"",9,NA,"",NA,"","","","","Harm","0","0"
"910",924,"",10,NA,"",NA,"","","","","Help","0","0"
"925",940,"1980-01-01 00:00:00",10,NA,"Kobieta",1995,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"936",951,"1980-01-01 00:00:00",9,NA,"Kobieta",1992,"Średnie","","Nie","Tak","Harm","Dyrektor dezaprobuje pomaganie","Dezaprobuję postawę dyrektora"
"942",957,"",10,NA,"",NA,"","","","","Help","0","0"
"946",961,"1980-01-01 00:00:00",9,NA,"Kobieta",1976,"Średnie","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"956",971,"",9,NA,"",NA,"","","","","Harm","0","0"
"963",978,"",9,NA,"",NA,"","","","","Harm","0","0"
"978",993,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1993,"Średnie","","Tak","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"984",999,"",9,NA,"",NA,"","","","","Harm","0","0"
"994",1009,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1986,"Wyższe","","Tak","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"996",1011,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1993,"-oth-","Średiowysokie. na studiach","Nie","Nie","Harm","Dyrektor jest obojętny","Aprobuję postawę dyrektora"
"1007",1022,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1995,"Średnie","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1009",1024,"1980-01-01 00:00:00",9,NA,"Kobieta",1972,"Średnie","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1033",1051,"1980-01-01 00:00:00",10,NA,"Kobieta",1991,"Wyższe","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Jestem obojętny wobec postawy dyrektora"
"1035",1053,"1980-01-01 00:00:00",10,NA,"Kobieta",1992,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1062",1081,"",9,NA,"",NA,"","","","","Harm","0","0"
"1075",1094,"1980-01-01 00:00:00",9,NA,"Mężczyzna",1993,"Średnie","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1095",1114,"1980-01-01 00:00:00",10,NA,"Kobieta",1971,"Wyższe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1106",1125,"1980-01-01 00:00:00",9,NA,"Kobieta",1976,"Wyższe","","Nie","Nie","Harm","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"1139",1159,"",9,NA,"",NA,"","","","","Harm","0","0"
"1141",1161,"",9,NA,"",NA,"","","","","Harm","0","0"
"1146",1166,"",9,NA,"",NA,"","","","","Harm","0","0"
"1165",1185,"",10,NA,"",NA,"","","","","Help","0","0"
"1167",1187,"",10,NA,"",NA,"","","","","Help","0","0"
"1177",1197,"",10,NA,"",NA,"","","","","Help","0","0"
"1186",1208,"1980-01-01 00:00:00",10,NA,"Kobieta",1995,"Średnie","","Nie","Tak","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1197",1218,"1980-01-01 00:00:00",10,NA,"Mężczyzna",1988,"Wyższe","","Nie","Nie","Help","Dyrektor aprobuje szkodzenie","Dezaprobuję postawę dyrektora"
"1210",1231,"",10,NA,"",NA,"","","","","Help","0","0"
"1213",1234,"",9,NA,"",NA,"","","","","Harm","0","0"
"1238",1259,"",10,NA,"",NA,"","","","","Help","0","0"
"1245",1267,"1980-01-01 00:00:00",9,NA,"Kobieta",1957,"Wyższe","","Nie","Nie","Harm","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1246",1268,"1980-01-01 00:00:00",10,NA,"Kobieta",1999,"Podstawowe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1259",1281,"",9,NA,"",NA,"","","","","Harm","0","0"
"1265",1287,"",10,NA,"",NA,"","","","","Help","0","0"
"1283",1305,"",9,NA,"",NA,"","","","","Harm","0","0"
"1284",1306,"1980-01-01 00:00:00",10,NA,"Kobieta",1995,"Zawodowe","","Nie","Nie","Help","Dyrektor jest obojętny","Dezaprobuję postawę dyrektora"
"1298",1320,"",9,NA,"",NA,"","","","","Harm","0","0"
